jalan_original,jalan_clean,image_name,latitude,longitude,inside_study_area,dist_outside_boundary_m,dist_to_functional_centre_m,green_view_index,sky_visibility_index,building_dominance_index,road_hardscape_index,street_enclosure_index,openness_index,visual_diversity_index,walkability_visual_index,view_quality_score,key_view_candidate_score,final_top_view_score
Jalan Sultan Abdul Samad,Jalan Sultan Abdul Samad,3126687594230580.jpg,3.1312372530685,101.68873031582,True,0.0,518.1741208007076,0.2910234616126543,0.1711938175154321,0.3175147087191358,0.1974889081790123,0.4625717351466049,0.2585008559992284,0.6131495564054141,0.3402692961516204,0.2106868383605034,0.8046888700623059,0.7741491424240928
Jalan Thambipillay,Jalan Thambipillay,502663897812683.jpg,3.1302768012304,101.68755394016,True,0.0,365.84633585852845,0.3454957561728395,0.0929594666280864,0.1866648582175926,0.3247152295524692,0.3594127363040124,0.1966081934799382,0.6537881362102518,0.3389097885320216,0.2046863519419544,0.7543004039832202,0.7354856252892567
Jalan Thambipillay,Jalan Thambipillay,136624178460844.jpg,3.1332938752346,101.68932189284,True,0.0,680.1438287686166,0.1321207079475308,0.208423755787037,0.292867115162037,0.2799394772376543,0.3389561029128086,0.2480599681712962,0.7590635499552955,0.2999530285493827,0.192876570735964,0.7229821295317181,0.6448197009541307
Jalan Thambipillay,Jalan Thambipillay,515165086419309.jpg,3.1315425840987,101.68741753083,True,0.0,397.4356960845392,0.0694172574266975,0.295870647665895,0.1659355709876543,0.2109479890046296,0.200644199701003,0.3166958248939043,0.6412488356036389,0.2513422007619599,0.1768874606125365,0.593536146427119,0.5396800710675334
Jalan Travers / Jalan Rakyat,Jalan Travers / Jalan Rakyat,280166857082107.jpg,3.1301301162345,101.68443059883,True,0.0,40.78918727705676,0.2698785927854938,0.234064308449074,0.2884366560570988,0.1787717013888889,0.3799101803626543,0.3150278862847222,0.6978459617162426,0.351919620466821,0.2421829569021123,0.894912800199356,0.851537251035249
Jalan Travers / Jalan Rakyat,Jalan Travers / Jalan Rakyat,254788939583605.jpg,3.1301566895318,101.68418101862,True,0.0,43.247141885779605,0.1719426359953703,0.289834587191358,0.2830559172453704,0.2521156442901234,0.3626132691936728,0.3414173779899691,0.6617414940862619,0.3310156189718364,0.2196887856002078,0.8451831460744695,0.802359801601085
Jalan Travers / Jalan Rakyat,Jalan Travers / Jalan Rakyat,123227166654911.jpg,3.1311022126119,101.68286699452,True,0.0,216.1069897195899,0.0828697072723765,0.2122423562885802,0.2819058641975308,0.168921802662037,0.3081323543595679,0.2371032684702932,0.6937448711469872,0.2406276433497299,0.1599162026049184,0.8562548402697887,0.5966346289143118
Jalan Tun Sambanthan,Jalan Tun Sambanthan,604099424326034.jpg,3.1267302583999,101.68306998274,True,0.0,364.73534924676,0.4050778838734568,0.1421391541280864,0.0474698591820987,0.3390760030864198,0.2500088011188272,0.2636625192901234,0.6512936057905298,0.3773120478877315,0.2479171514009868,0.8822433243890545,0.8655195336499671
Jalan Tun Sambanthan,Jalan Tun Sambanthan,151542006865290.jpg,3.1301370146742,101.6845035267,True,0.0,44.9600463852523,0.2414384403935185,0.2671037085262345,0.3162350501543209,0.1566718508873457,0.3956567684220679,0.3395352406442901,0.690142009388773,0.3494154248649691,0.2431067448400289,0.8833670401539774,0.849958395896819
Jalan Tun Sambanthan,Jalan Tun Sambanthan,3974445499336626.jpg,3.1249432721566,101.68216979218,True,0.0,585.8981466394737,0.4732090326003086,0.0682690731095679,0.250589916087963,0.2077287085262345,0.4855985363618827,0.2102317828896604,0.5876760730503569,0.3826904296875,0.2338264447152696,0.8914636184350103,0.8484452966306997
