node,x,y,degree,closeness,betweenness,straightness,is_intersection,degree_pct,closeness_pct,betweenness_pct,straightness_pct,composite_score,node_class
4945780440,798875.6413861566,346806.39299153193,3,0.0011032471046687415,0.09895016611295682,0.7871654656792474,True,0.5291970802919708,0.8586595885865959,0.9714664897146649,0.8433974784339748,0.8911745189117452,major
11749673972,798847.0171109459,346790.63953876786,3,0.0011276745990969382,0.15637430786267997,0.8004855527812452,True,0.5291970802919708,0.9190444591904446,0.9986728599867286,0.9316522893165229,0.9497898694978987,major
5733048657,798844.0877517324,346774.84140788065,3,0.0011302245348703028,0.01720044296788483,0.7933450127950659,True,0.5291970802919708,0.9250165892501659,0.6788321167883211,0.8838752488387525,0.8292413182924131,major
6148838482,798922.2637561117,346891.197798826,3,0.0010326081223198979,0.09702325581395349,0.7721235460228585,True,0.5291970802919708,0.7239548772395488,0.9701393497013935,0.7120106171201062,0.8020349480203496,minor
4619870922,798824.8471231135,346769.4694603261,4,0.0011404203885417548,0.09919601328903656,0.7985867676733979,True,0.8978102189781022,0.946914399469144,0.973457199734572,0.920371599203716,0.946914399469144,major
7282804105,798840.5087297056,346769.4654040483,3,0.0011323463741694584,0.017286821705426357,0.7912982348306303,True,0.5291970802919708,0.9296615792966157,0.6801592568015926,0.8692767086927671,0.8263658482636584,major
4768669136,798794.5864893559,346793.19387682,3,0.0011151465035732562,0.01578294573643411,0.7796887205762031,True,0.5291970802919708,0.8958195089581951,0.6642335766423357,0.7936297279362973,0.7845609378456094,minor
13476200207,798829.0322694071,346777.0490730589,3,0.0011351627949388588,0.068312292358804,0.7968930033721638,True,0.5291970802919708,0.9369608493696084,0.9276708692767087,0.9044459190444591,0.9230258792302588,major
11749673973,798820.7183022088,346761.61335288436,3,0.0011429574138887518,0.11268217054263567,0.7983907591868192,True,0.5291970802919708,0.953550099535501,0.9840743198407432,0.9190444591904446,0.9522229595222296,major
8528441313,798852.373075725,346714.7764728227,1,0.0011255516933432895,0.0,0.7687873886463549,False,0.10053085600530856,0.9117451891174518,0.11280690112806901,0.6648971466489715,0.5631497456314974,other
6148809817,798834.6516539311,346745.8917089239,4,0.0011455729927962533,0.06529789590254707,0.7960806295844466,True,0.8978102189781022,0.960185799601858,0.9210351692103517,0.9011280690112807,0.9274496792744968,major
4619870925,798776.0739021166,346642.83133546845,3,0.0011573364812447707,0.002135579284214269,0.7592016267825699,True,0.5291970802919708,0.9820836098208361,0.3609820836098208,0.5673523556735236,0.6368060163680601,other
6148809814,798752.906402502,346667.93505044247,4,0.0011728413041336375,0.03712070874861573,0.7747605053048519,True,0.8978102189781022,0.9946914399469144,0.8122096881220969,0.7451891174518912,0.8506967485069675,major
4621577700,798379.1547344457,346780.12206090963,4,0.0009436840179596003,0.00011555683952043912,0.7251002695469306,True,0.8978102189781022,0.5846051758460518,0.23158593231585933,0.2707365627073656,0.36230922362309226,other
